价格 ,成色,净度,克拉重量,荧光,钻身高度,桌面,抛光度,对称度,腰棱,底尖,量度尺寸,编号
,I信息color-column-1,SI2信息clarity-column-1,0.30,微弱信息fluorescence-column-1,60.2%信息depth--column-1,59.0%信息table--column-1,非常好信息polish-column-1,非常好信息symmetry-column-1,中等至略厚信息girdle-column-1,无信息culet-column-1,4.36 x 4.33 x 2.61 毫米,LD11130531
,H信息color-column-1,SI2信息clarity-column-1,0.25,无信息fluorescence-column-1,64.9%信息depth--column-1,58.0%信息table--column-1,良好信息polish-column-1,良好信息symmetry-column-1,厚至很厚信息girdle-column-1,无信息culet-column-1,3.95 x 3.97 x 2.57 毫米,LD13761550
,J信息color-column-1,SI2信息clarity-column-1,0.32,微弱信息fluorescence-column-1,60.2%信息depth--column-1,61.0%信息table--column-1,相当好信息polish-column-1,相当好信息symmetry-column-1,中度信息girdle-column-1,无信息culet-column-1,4.46 x 4.42 x 2.67 毫米,LD12168359
,I信息color-column-1,SI2信息clarity-column-1,0.31,无信息fluorescence-column-1,61.9%信息depth--column-1,65.0%信息table--column-1,非常好信息polish-column-1,非常好信息symmetry-column-1,略厚至很厚信息girdle-column-1,无信息culet-column-1,4.25 x 4.23 x 2.63 毫米,LD13108675
,J信息color-column-1,SI2信息clarity-column-1,0.31,微弱信息fluorescence-column-1,61.8%信息depth--column-1,58.0%信息table--column-1,相当好信息polish-column-1,相当好信息symmetry-column-1,中等至略厚信息girdle-column-1,无信息culet-column-1,4.34 x 4.33 x 2.68 毫米,LD12168388
,K信息color-column-1,VS1信息clarity-column-1,0.30,微弱信息fluorescence-column-1,63.8%信息depth--column-1,58.0%信息table--column-1,非常好信息polish-column-1,相当好信息symmetry-column-1,薄至略厚信息girdle-column-1,无信息culet-column-1,4.23 x 4.20 x 2.69 毫米,LD12744306
,J信息color-column-1,SI2信息clarity-column-1,0.31,微弱信息fluorescence-column-1,62.7%信息depth--column-1,56.0%信息table--column-1,相当好信息polish-column-1,相当好信息symmetry-column-1,中等至略厚信息girdle-column-1,无信息culet-column-1,4.33 x 4.30 x 2.71 毫米,LD12168384
,K信息color-column-1,SI2信息clarity-column-1,0.30,无信息fluorescence-column-1,63.9%信息depth--column-1,62.0%信息table--column-1,非常好信息polish-column-1,非常好信息symmetry-column-1,厚信息girdle-column-1,无信息culet-column-1,4.19 x 4.21 x 2.68 毫米,LD12763401
,K信息color-column-1,SI2信息clarity-column-1,0.31,中度信息fluorescence-column-1,62.1%信息depth--column-1,61.0%信息table--column-1,相当好信息polish-column-1,相当好信息symmetry-column-1,略厚至厚信息girdle-column-1,无信息culet-column-1,4.31 x 4.33 x 2.68 毫米,LD13630124
,J信息color-column-1,SI1信息clarity-column-1,0.30,中度信息fluorescence-column-1,61.0%信息depth--column-1,59.0%信息table--column-1,相当好信息polish-column-1,非常好信息symmetry-column-1,中等至略厚信息girdle-column-1,无信息culet-column-1,4.33 x 4.30 x 2.63 毫米,LD12058611
,I信息color-column-1,SI1信息clarity-column-1,0.30,无信息fluorescence-column-1,64.3%信息depth--column-1,56.0%信息table--column-1,相当好信息polish-column-1,非常好信息symmetry-column-1,略厚信息girdle-column-1,无信息culet-column-1,4.23 x 4.21 x 2.71 毫米,LD08302277
,G信息color-column-1,SI2信息clarity-column-1,0.23,无信息fluorescence-column-1,62.8%信息depth--column-1,55.0%信息table--column-1,非常好信息polish-column-1,良好信息symmetry-column-1,略厚至很厚信息girdle-column-1,无信息culet-column-1,3.90 x 3.93 x 2.46 毫米,LD13761549
,H信息color-column-1,SI2信息clarity-column-1,0.30,微弱信息fluorescence-column-1,60.1%信息depth--column-1,61.0%信息table--column-1,相当好信息polish-column-1,相当好信息symmetry-column-1,中等至略厚信息girdle-column-1,无信息culet-column-1,4.34 x 4.32 x 2.60 毫米,LD12167626
,J信息color-column-1,SI2信息clarity-column-1,0.32,微弱信息fluorescence-column-1,62.5%信息depth--column-1,57.0%信息table--column-1,相当好信息polish-column-1,相当好信息symmetry-column-1,中等至略厚信息girdle-column-1,无信息culet-column-1,4.38 x 4.35 x 2.73 毫米,LD12492371
,K信息color-column-1,SI1信息clarity-column-1,0.32,无信息fluorescence-column-1,61.2%信息depth--column-1,61.0%信息table--column-1,相当好信息polish-column-1,相当好信息symmetry-column-1,中等至略厚信息girdle-column-1,无信息culet-column-1,4.39 x 4.38 x 2.68 毫米,LD12956569
,K信息color-column-1,SI2信息clarity-column-1,0.36,无信息fluorescence-column-1,62.3%信息depth--column-1,57.0%信息table--column-1,相当好信息polish-column-1,相当好信息symmetry-column-1,中等至略厚信息girdle-column-1,无信息culet-column-1,4.57 x 4.54 x 2.84 毫米,LD12956643
,I信息color-column-1,SI2信息clarity-column-1,0.25,微弱信息fluorescence-column-1,63.0%信息depth--column-1,58.0%信息table--column-1,非常好信息polish-column-1,良好信息symmetry-column-1,略厚至厚信息girdle-column-1,无信息culet-column-1,3.94 x 3.97 x 2.49 毫米,LD13701059
,E信息color-column-1,SI1信息clarity-column-1,0.23,无信息fluorescence-column-1,61.2%信息depth--column-1,60.0%信息table--column-1,相当好信息polish-column-1,相当好信息symmetry-column-1,中等至略厚信息girdle-column-1,无信息culet-column-1,3.98 x 3.96 x 2.43 毫米,LD10895048
,H信息color-column-1,SI2信息clarity-column-1,0.30,微弱信息fluorescence-column-1,64.2%信息depth--column-1,55.0%信息table--column-1,相当好信息polish-column-1,非常好信息symmetry-column-1,中等至厚信息girdle-column-1,无信息culet-column-1,4.20 x 4.23 x 2.70 毫米,LD10696336
,H信息color-column-1,SI2信息clarity-column-1,0.30,微弱信息fluorescence-column-1,64.5%信息depth--column-1,56.0%信息table--column-1,相当好信息polish-column-1,非常好信息symmetry-column-1,略厚至很厚信息girdle-column-1,无信息culet-column-1,4.16 x 4.21 x 2.70 毫米,LD10696349
,K信息color-column-1,SI1信息clarity-column-1,0.30,强信息fluorescence-column-1,58.2%信息depth--column-1,62.0%信息table--column-1,非常好信息polish-column-1,非常好信息symmetry-column-1,略厚至很厚信息girdle-column-1,很小信息culet-column-1,4.35 x 4.32 x 2.52 毫米,LD13334517
,K信息color-column-1,SI2信息clarity-column-1,0.30,无信息fluorescence-column-1,62.1%信息depth--column-1,54.0%信息table--column-1,相当好信息polish-column-1,相当好信息symmetry-column-1,薄至中等信息girdle-column-1,无信息culet-column-1,4.31 x 4.29 x 2.67 毫米,LD13671841
,G信息color-column-1,SI1信息clarity-column-1,0.23,无信息fluorescence-column-1,58.6%信息depth--column-1,62.0%信息table--column-1,非常好信息polish-column-1,非常好信息symmetry-column-1,中等至厚信息girdle-column-1,无信息culet-column-1,3.99 x 4.01 x 2.35 毫米,LD13761571
,G信息color-column-1,SI1信息clarity-column-1,0.23,无信息fluorescence-column-1,63.2%信息depth--column-1,54.0%信息table--column-1,非常好信息polish-column-1,良好信息symmetry-column-1,略厚至厚信息girdle-column-1,无信息culet-column-1,3.92 x 3.94 x 2.49 毫米,LD13701070
,J信息color-column-1,SI2信息clarity-column-1,0.32,无信息fluorescence-column-1,62.4%信息depth--column-1,56.0%信息table--column-1,相当好信息polish-column-1,相当好信息symmetry-column-1,中等至略厚信息girdle-column-1,无信息culet-column-1,4.38 x 4.34 x 2.72 毫米,LD11397615
,E信息color-column-1,SI2信息clarity-column-1,0.23,无信息fluorescence-column-1,58.7%信息depth--column-1,62.0%信息table--column-1,非常好信息polish-column-1,良好信息symmetry-column-1,中等至厚信息girdle-column-1,无信息culet-column-1,3.94 x 3.97 x 2.32 毫米,LD13761569
,I信息color-column-1,SI2信息clarity-column-1,0.31,无信息fluorescence-column-1,61.7%信息depth--column-1,58.0%信息table--column-1,相当好信息polish-column-1,相当好信息symmetry-column-1,中等至略厚信息girdle-column-1,无信息culet-column-1,4.36 x 4.33 x 2.68 毫米,LD12812472
,K信息color-column-1,SI2信息clarity-column-1,0.36,微弱信息fluorescence-column-1,60.4%信息depth--column-1,58.0%信息table--column-1,非常好信息polish-column-1,非常好信息symmetry-column-1,中等至略厚信息girdle-column-1,无信息culet-column-1,4.61 x 4.60 x 2.78 毫米,LD13485276
,F信息color-column-1,SI1信息clarity-column-1,0.23,无信息fluorescence-column-1,62.4%信息depth--column-1,60.0%信息table--column-1,良好信息polish-column-1,非常好信息symmetry-column-1,中等至厚信息girdle-column-1,无信息culet-column-1,3.87 x 3.89 x 2.42 毫米,LD13701063
,E信息color-column-1,SI1信息clarity-column-1,0.23,无信息fluorescence-column-1,64.6%信息depth--column-1,58.0%信息table--column-1,非常好信息polish-column-1,良好信息symmetry-column-1,略厚至很厚信息girdle-column-1,无信息culet-column-1,3.82 x 3.83 x 2.47 毫米,LD13701069
,J信息color-column-1,SI2信息clarity-column-1,0.30,无信息fluorescence-column-1,61.6%信息depth--column-1,56.0%信息table--column-1,良好信息polish-column-1,良好信息symmetry-column-1,很薄至很厚信息girdle-column-1,无信息culet-column-1,4.28 x 4.23 x 2.62 毫米,LD13256504
,H信息color-column-1,SI2信息clarity-column-1,0.31,微弱信息fluorescence-column-1,62.5%信息depth--column-1,56.0%信息table--column-1,相当好信息polish-column-1,相当好信息symmetry-column-1,中等至略厚信息girdle-column-1,无信息culet-column-1,4.36 x 4.33 x 2.72 毫米,LD12167190
,J信息color-column-1,SI2信息clarity-column-1,0.30,无信息fluorescence-column-1,63.8%信息depth--column-1,55.0%信息table--column-1,相当好信息polish-column-1,相当好信息symmetry-column-1,中等至略厚信息girdle-column-1,无信息culet-column-1,4.22 x 4.25 x 2.70 毫米,LD12266697
,F信息color-column-1,SI2信息clarity-column-1,0.23,无信息fluorescence-column-1,64.0%信息depth--column-1,58.0%信息table--column-1,良好信息polish-column-1,良好信息symmetry-column-1,略厚至很厚信息girdle-column-1,无信息culet-column-1,3.83 x 3.86 x 2.46 毫米,LD13761570
,F信息color-column-1,SI2信息clarity-column-1,0.23,无信息fluorescence-column-1,61.5%信息depth--column-1,59.0%信息table--column-1,非常好信息polish-column-1,良好信息symmetry-column-1,薄至厚信息girdle-column-1,无信息culet-column-1,3.90 x 3.94 x 2.41 毫米,LD13761575
,K信息color-column-1,VS1信息clarity-column-1,0.30,微弱信息fluorescence-column-1,62.3%信息depth--column-1,60.0%信息table--column-1,相当好信息polish-column-1,非常好信息symmetry-column-1,略厚至厚信息girdle-column-1,无信息culet-column-1,4.22 x 4.21 x 2.62 毫米,LD12744307
,K信息color-column-1,VVS2信息clarity-column-1,0.30,微弱信息fluorescence-column-1,63.0%信息depth--column-1,56.0%信息table--column-1,相当好信息polish-column-1,相当好信息symmetry-column-1,中等至略厚信息girdle-column-1,无信息culet-column-1,4.26 x 4.24 x 2.68 毫米,LD12744256
,K信息color-column-1,SI1信息clarity-column-1,0.30,无信息fluorescence-column-1,60.6%信息depth--column-1,65.0%信息table--column-1,非常好信息polish-column-1,非常好信息symmetry-column-1,中等至很厚信息girdle-column-1,无信息culet-column-1,4.28 x 4.23 x 2.58 毫米,LD13256402
,F信息color-column-1,SI2信息clarity-column-1,0.23,无信息fluorescence-column-1,59.6%信息depth--column-1,61.0%信息table--column-1,良好信息polish-column-1,相当好信息symmetry-column-1,中等至略厚信息girdle-column-1,无信息culet-column-1,3.98 x 4.00 x 2.38 毫米,LD13701056
,F信息color-column-1,SI2信息clarity-column-1,0.23,无信息fluorescence-column-1,60.8%信息depth--column-1,62.0%信息table--column-1,非常好信息polish-column-1,良好信息symmetry-column-1,中等至厚信息girdle-column-1,无信息culet-column-1,3.94 x 3.97 x 2.40 毫米,LD13701061
,F信息color-column-1,SI2信息clarity-column-1,0.23,无信息fluorescence-column-1,62.6%信息depth--column-1,57.0%信息table--column-1,非常好信息polish-column-1,非常好信息symmetry-column-1,中等至略厚信息girdle-column-1,无信息culet-column-1,3.86 x 3.90 x 2.43 毫米,LD13701066
,I信息color-column-1,SI2信息clarity-column-1,0.30,无信息fluorescence-column-1,63.8%信息depth--column-1,56.0%信息table--column-1,相当好信息polish-column-1,良好信息symmetry-column-1,中等至厚信息girdle-column-1,无信息culet-column-1,4.18 x 4.21 x 2.68 毫米,LD12225835
,G信息color-column-1,SI2信息clarity-column-1,0.30,无信息fluorescence-column-1,62.6%信息depth--column-1,65.0%信息table--column-1,非常好信息polish-column-1,良好信息symmetry-column-1,厚至很厚信息girdle-column-1,无信息culet-column-1,4.24 x 4.15 x 2.63 毫米,LD13625231
,H信息color-column-1,SI2信息clarity-column-1,0.30,微弱信息fluorescence-column-1,63.1%信息depth--column-1,56.0%信息table--column-1,相当好信息polish-column-1,相当好信息symmetry-column-1,中等至略厚信息girdle-column-1,无信息culet-column-1,4.29 x 4.26 x 2.70 毫米,LD10701360
,J信息color-column-1,SI1信息clarity-column-1,0.30,微弱信息fluorescence-column-1,59.9%信息depth--column-1,61.0%信息table--column-1,相当好信息polish-column-1,相当好信息symmetry-column-1,中度信息girdle-column-1,无信息culet-column-1,4.36 x 4.34 x 2.61 毫米,LD12184659
,J信息color-column-1,SI2信息clarity-column-1,0.30,深度蓝光信息fluorescence-column-1,60.2%信息depth--column-1,61.0%信息table--column-1,非常好信息polish-column-1,非常好信息symmetry-column-1,中等至略厚信息girdle-column-1,无信息culet-column-1,4.34 x 4.32 x 2.61 毫米,LD11527430
,H信息color-column-1,SI2信息clarity-column-1,0.26,微弱信息fluorescence-column-1,64.8%信息depth--column-1,57.0%信息table--column-1,非常好信息polish-column-1,良好信息symmetry-column-1,略厚至厚信息girdle-column-1,无信息culet-column-1,3.97 x 3.98 x 2.58 毫米,LD13701050
,H信息color-column-1,SI2信息clarity-column-1,0.26,微弱信息fluorescence-column-1,63.4%信息depth--column-1,57.0%信息table--column-1,相当好信息polish-column-1,良好信息symmetry-column-1,中等至厚信息girdle-column-1,无信息culet-column-1,4.03 x 4.05 x 2.56 毫米,LD13761548
,I信息color-column-1,SI2信息clarity-column-1,0.32,微弱信息fluorescence-column-1,63.9%信息depth--column-1,57.0%信息table--column-1,相当好信息polish-column-1,非常好信息symmetry-column-1,中等至略厚信息girdle-column-1,无信息culet-column-1,4.31 x 4.34 x 2.76 毫米,LD10696348
,I信息color-column-1,SI2信息clarity-column-1,0.30,无信息fluorescence-column-1,60.6%信息depth--column-1,60.0%信息table--column-1,相当好信息polish-column-1,相当好信息symmetry-column-1,中等至略厚信息girdle-column-1,无信息culet-column-1,4.34 x 4.31 x 2.62 毫米,LD13485155
,J信息color-column-1,SI2信息clarity-column-1,0.30,中度信息fluorescence-column-1,58.3%信息depth--column-1,65.0%信息table--column-1,非常好信息polish-column-1,非常好信息symmetry-column-1,厚至很厚信息girdle-column-1,无信息culet-column-1,4.35 x 4.32 x 2.53 毫米,LD13338192
,J信息color-column-1,SI2信息clarity-column-1,0.34,无信息fluorescence-column-1,62.7%信息depth--column-1,55.0%信息table--column-1,相当好信息polish-column-1,相当好信息symmetry-column-1,中等至略厚信息girdle-column-1,无信息culet-column-1,4.48 x 4.45 x 2.80 毫米,LD11338819
,H信息color-column-1,SI2信息clarity-column-1,0.32,中度信息fluorescence-column-1,62.2%信息depth--column-1,57.0%信息table--column-1,相当好信息polish-column-1,相当好信息symmetry-column-1,中等至略厚信息girdle-column-1,无信息culet-column-1,4.38 x 4.35 x 2.71 毫米,LD12155274
,K信息color-column-1,SI1信息clarity-column-1,0.30,中度信息fluorescence-column-1,60.0%信息depth--column-1,57.0%信息table--column-1,相当好信息polish-column-1,相当好信息symmetry-column-1,薄至中等信息girdle-column-1,无信息culet-column-1,4.39 x 4.40 x 2.64 毫米,LD13356999
,E信息color-column-1,SI2信息clarity-column-1,0.23,无信息fluorescence-column-1,60.3%信息depth--column-1,62.0%信息table--column-1,非常好信息polish-column-1,良好信息symmetry-column-1,略厚至厚信息girdle-column-1,无信息culet-column-1,3.90 x 3.92 x 2.36 毫米,LD13701071
,F信息color-column-1,SI1信息clarity-column-1,0.23,中度信息fluorescence-column-1,64.1%信息depth--column-1,57.0%信息table--column-1,非常好信息polish-column-1,良好信息symmetry-column-1,中等至略厚信息girdle-column-1,无信息culet-column-1,3.84 x 3.86 x 2.47 毫米,LD13761572
,G信息color-column-1,SI2信息clarity-column-1,0.30,微弱信息fluorescence-column-1,61.5%信息depth--column-1,59.0%信息table--column-1,相当好信息polish-column-1,相当好信息symmetry-column-1,中等至略厚信息girdle-column-1,无信息culet-column-1,4.31 x 4.30 x 2.65 毫米,LD12185547
,F信息color-column-1,SI1信息clarity-column-1,0.23,微弱信息fluorescence-column-1,59.9%信息depth--column-1,59.0%信息table--column-1,非常好信息polish-column-1,非常好信息symmetry-column-1,薄至中等信息girdle-column-1,无信息culet-column-1,4.01 x 3.98 x 2.39 毫米,LD13675962
,E信息color-column-1,SI2信息clarity-column-1,0.23,无信息fluorescence-column-1,63.9%信息depth--column-1,59.0%信息table--column-1,相当好信息polish-column-1,良好信息symmetry-column-1,很薄至厚信息girdle-column-1,无信息culet-column-1,3.87 x 3.89 x 2.48 毫米,LD13701052
,K信息color-column-1,SI2信息clarity-column-1,0.30,无信息fluorescence-column-1,60.0%信息depth--column-1,63.0%信息table--column-1,非常好信息polish-column-1,非常好信息symmetry-column-1,略厚至厚信息girdle-column-1,无信息culet-column-1,4.30 x 4.25 x 2.56 毫米,LD13241764
